speech_emb_1,speech_emb_2,speech_emb_3,speech_emb_4,speech_emb_5,speech_emb_6,speech_emb_7,speech_emb_8,speech_emb_9,speech_emb_10,speech_emb_11,speech_emb_12,speech_emb_13,speech_emb_14,speech_emb_15,speech_emb_16,speech_emb_17,speech_emb_18,speech_emb_19,speech_emb_20,speech_emb_21,speech_emb_22,speech_emb_23,speech_emb_24,speech_emb_25,speech_emb_26,speech_emb_27,speech_emb_28,speech_emb_29,speech_emb_30,speech_emb_31,speech_emb_32,speech_emb_33,speech_emb_34,speech_emb_35,speech_emb_36,speech_emb_37,speech_emb_38,speech_emb_39,speech_emb_40,speech_emb_41,speech_emb_42,speech_emb_43,speech_emb_44,speech_emb_45,speech_emb_46,speech_emb_47,speech_emb_48,speech_emb_49,speech_emb_50,speech_emb_51,speech_emb_52,speech_emb_53,speech_emb_54,speech_emb_55,speech_emb_56,speech_emb_57,speech_emb_58,speech_emb_59,speech_emb_60,speech_emb_61,speech_emb_62,speech_emb_63,speech_emb_64,emotion,dataset,file_id
-1.1575282,3.8209496,0.21026841,-1.1652883,1.5465755,-0.29750395,0.22521468,0.8078453,0.8241747,-0.9950174,-0.99422324,0.61221653,1.6728673,0.37326613,0.65748334,-0.71919966,-0.21361406,0.6262204,-0.69695544,1.8997681,-0.57906413,-0.5483676,-0.32444093,-0.9544858,1.2459075,-0.38936636,-1.226379,0.32146552,-0.073702574,0.008719393,1.6798692,1.2956859,1.1949856,0.7947269,-0.79328185,-1.1763988,-0.7672365,-0.7334168,-1.1226822,2.7050009,-1.1376493,-0.2658061,-0.5050301,-0.62293094,-1.153227,1.1956114,-0.9945429,-1.1405725,-0.4569026,-1.3178319,1.6139448,-0.34451777,0.6301237,-1.2890338,-0.6336766,0.6252064,-0.7144699,2.1846294,1.8569796,-1.4179676,-0.27037707,0.9640429,0.5160938,-0.64235157,angry,CREMA-D,CREMA-D_1001_2880
-1.1575282,-1.0584257,-0.5699346,-1.1652883,-0.22334003,-0.57050544,1.8785204,-0.48087567,-1.1338797,-0.9950174,-0.44270277,2.8350909,-0.81477547,-1.1846659,-0.93912673,-0.71919966,-0.99664706,-0.96983254,-0.69695544,-1.087721,-1.0182239,-1.1609738,-0.83262885,1.2496984,-0.8058343,0.80666965,-1.4120942,3.2198176,1.8224808,-0.8797787,-1.1866112,-0.92117816,-1.4001044,-0.89818704,0.65521365,-1.1763988,-0.7672365,-0.7334168,2.7018604,2.710548,-1.3413308,2.3388665,-0.8393191,4.3421206,-0.19052751,-1.0540601,1.2934614,4.4261727,-1.271767,-1.3178319,-0.9453343,0.92888445,4.0402784,-1.2890338,-0.6336766,-1.2004789,-1.2038156,-0.8341942,-1.1094819,-1.4179676,2.9919143,0.63032717,-0.83473015,-0.24012806,disgust,CREMA-D,CREMA-D_1001_2881
-1.1575282,3.648402,2.1361506,-1.1652883,0.64187104,-0.25038874,0.77568525,2.174621,1.6549616,-0.9950174,-0.99422324,-0.83189654,-0.54913294,0.60320336,-0.93912673,-0.71919966,0.5846939,3.6160302,-0.69695544,3.8268514,-0.25066814,-1.1609738,1.0759016,1.6265587,-0.8058343,-0.26103333,0.5388718,0.2924918,-0.4286181,-0.8797787,4.6216855,0.99625623,1.8468568,-0.89818704,1.6933964,-1.1763988,2.9980025,-0.7334168,-1.1226822,2.287875,-1.3413308,-0.8818311,-1.1427723,-0.5681956,-1.153227,1.0349711,-0.7529139,-1.1405725,-1.271767,-0.60762817,2.0533252,-0.33455935,1.5292594,-1.2890338,-0.6336766,1.6904627,-1.2038156,1.3344431,-0.72331107,-0.057878118,-0.4046135,2.128182,1.046179,1.5239779,fearful,CREMA-D,CREMA-D_1001_2882
-1.1575282,3.1902766,0.3134014,-1.1652883,-0.26990852,-0.8899938,1.5170045,1.8699825,1.0241659,-0.9950174,-0.30297047,-0.23433295,-0.6413541,-0.12552306,-0.93912673,-0.71919966,-0.99664706,3.6653526,-0.69695544,2.794996,-1.0182239,-1.1609738,0.2820342,0.82480097,-0.8058343,-0.38936636,-1.4120942,0.3799302,1.1196979,-0.8797787,1.6817139,0.9159188,0.33438125,-0.89818704,0.35139406,-1.1763988,-0.7672365,-0.7334168,-1.1226822,2.83833,-1.3413308,1.4017662,-1.1427723,0.92469126,-1.153227,0.39114588,-0.9945429,-1.1405725,-1.271767,-1.3178319,-0.9453343,0.041014258,1.7520928,-1.2890338,-0.6336766,-0.350092,-1.2038156,1.1085371,1.10676,-1.4179676,-0.4109148,2.7373295,-0.6551057,-0.13443677,happy,CREMA-D,CREMA-D_1001_2883
-1.1575282,0.5694474,-1.2172651,-1.1652883,3.0059237,1.9877211,4.8423495,-0.727534,-0.5953045,-0.9950174,0.2092445,3.583649,-0.5352516,-0.020796977,-0.93912673,-0.71919966,-0.99664706,-0.96983254,-0.69695544,-1.087721,-1.0182239,-1.1609738,-0.86551887,0.4995525,-0.8058343,0.58824104,-1.4120942,0.85035855,1.5597513,-0.8797787,-1.1866112,-0.92117816,-1.4001044,-0.20105632,-1.0834028,-1.1763988,-0.7672365,-0.7334168,0.74824065,1.7074705,-1.3413308,4.5361066,0.7448506,3.4847984,1.0194621,-1.0540601,-0.9945429,2.7976584,-1.271767,-1.3178319,-0.9453343,1.927735,0.56371665,-1.2890338,-0.6336766,-1.2004789,-1.2038156,0.25778383,0.5597109,-1.4179676,2.4306815,1.9058489,-0.83473015,-0.64235157,neutral,CREMA-D,CREMA-D_1001_2884
-1.1575282,-1.0584257,-1.2172651,-1.1652883,1.4789838,0.19264342,3.5740497,-0.62817425,-1.1338797,-0.9950174,-0.36514682,5.1684785,-0.81477547,-1.1846659,-0.93912673,-0.71919966,-0.99664706,-0.96983254,-0.69695544,-1.087721,-1.0182239,-1.1609738,-0.86551887,1.9806838,-0.8058343,2.1058958,-1.4120942,2.6671553,1.3644412,-0.8797787,-1.1866112,-0.92117816,-1.4001044,-0.89818704,-0.31288868,-1.1763988,-0.7672365,-0.7334168,2.7859366,1.8781731,-1.3413308,4.099734,0.037069168,5.105251,1.3226452,-1.0540601,0.67620254,6.912253,-1.271767,-1.3178319,-0.9453343,2.0516355,2.8643737,-1.2890338,-0.6336766,-1.2004789,-1.2038156,-0.8341942,-1.1094819,-1.4179676,4.158591,0.45683283,-0.83473015,-0.15384674,sad,CREMA-D,CREMA-D_1001_2885
-1.1575282,1.7879872,-0.5704226,-1.1652883,1.4356575,-0.49365368,-0.49198407,0.91316074,2.2395043,-0.9950174,1.748327,1.21602,1.8242204,-1.1846659,-0.83415407,-0.71919966,0.35651177,1.0216284,1.3502442,1.9838226,-1.0182239,-1.1609738,-0.86551887,-0.9544858,3.5216966,-0.38936636,-1.4120942,-1.1879612,-0.9425255,-0.20570718,0.1235012,3.5086255,0.5892295,3.5483506,-1.0834028,-1.1763988,-0.7672365,-0.7334168,-1.1226822,0.43080503,-1.1887442,1.8172202,-0.42728972,-0.7909787,-1.153227,0.47996843,-0.9945429,-1.1405725,0.84590197,-1.3178319,3.321748,1.0385587,-0.7213789,-1.2890338,-0.6336766,0.19096462,-1.0491241,3.383443,6.223232,-1.4179676,-1.1382821,2.5205808,0.7829569,-0.4269685,angry,CREMA-D,CREMA-D_1001_2886
-1.1575282,1.7616664,0.9309944,-1.1652883,0.35019097,-0.8899938,0.40268344,-0.48205188,0.2764033,-0.9950174,0.6955597,1.4126981,0.6864606,-0.6669917,-0.93912673,-0.71919966,-0.99664706,2.471973,0.60612017,-0.62665576,1.8966354,-1.1609738,-0.57912993,0.38878727,-0.8058343,-0.2958316,-0.69796956,-1.3894522,-0.039823942,-0.8797787,-1.1866112,2.716896,-1.4001044,-0.89818704,-1.0834028,-1.1763988,-0.7672365,-0.7334168,-1.1226822,0.33145264,-1.3413308,0.009936906,-1.1427723,-0.43715635,-1.153227,-1.0540601,-0.9945429,-1.1405725,-1.271767,-0.14021581,-0.9453343,2.9658947,-1.1768723,-1.2890338,-0.6336766,-1.2004789,-1.2038156,-0.8341942,2.3286726,-1.4179676,-0.54880464,1.4342664,-0.83473015,-0.64235157,angry,CREMA-D,CREMA-D_1001_2887
-1.1575282,3.2274098,-1.2172651,-1.1652883,1.0297383,-0.10706175,0.46027067,-0.727534,1.879746,-0.35245848,0.5895691,2.1888387,2.3331258,-1.1846659,-0.93912673,-0.71919966,-0.99664706,-0.96983254,0.40866,-1.087721,-1.0182239,-1.1609738,-0.86551887,-0.9544858,1.6452864,-0.38936636,-1.4120942,-0.02875178,-0.9425255,0.7894715,-1.1866112,2.2934496,-0.93285716,2.2639575,-1.0834028,-1.1763988,-0.7672365,-0.7334168,-0.8382224,0.15175906,-1.3413308,2.856522,-0.10110097,-0.21520406,-1.153227,-1.0540601,-0.9945429,-1.1405725,-0.527077,-1.3178319,-0.38800746,1.7538652,-1.1768723,-1.2890338,-0.6336766,-1.2004789,-0.63758796,2.4545705,4.3379993,-1.4179676,1.633132,0.21849492,-0.83473015,-0.64235157,angry,CREMA-D,CREMA-D_1001_2888
-1.1575282,3.005997,1.5151045,-1.1652883,-0.73097223,-0.8899938,-0.64466345,-0.48440272,1.0575371,-0.9950174,1.0468225,0.6263467,2.0087037,-0.32653132,-0.93912673,-0.5847479,-0.6387372,2.2231312,2.1439216,-0.15161307,0.88182455,-1.1609738,-0.5290468,-0.9544858,-0.8058343,-0.38936636,0.18905634,-1.3894522,0.5422054,-0.8797787,-0.3239614,2.5553923,1.1050005,0.26009265,-0.56327915,-1.1763988,-0.7672365,-0.7334168,-1.1226822,1.7321885,-1.3413308,-0.8818311,-1.1427723,-0.7909787,-1.153227,-0.38170537,-0.9945429,-1.1405725,-0.39597133,-1.3178319,-0.14082682,1.0227671,-1.1410711,-1.2890338,-0.6336766,-1.2004789,-1.2038156,0.70180714,3.3215492,-1.4179676,-1.1382821,2.6646361,-0.83473015,-0.64235157,disgust,CREMA-D,CREMA-D_1001_2889
